Cod. Cliente;Loja;Município;UF;Zona
501727;1;SAO BERNARDO DO CAMPO;SP;SP1103
501728;1;RIBEIRAO PRETO;SP;SP2212
501729;1;COTIA;SP;SP1108
501740;1;SAO PAULO;SP;SP1120
501741;1;SAO PAULO;SP;SP1121
501748;1;MOGI DAS CRUZES;SP;SP2216
501752;1;SAO BERNARDO DO CAMPO;SP;SP1103
501754;1;GUARULHOS;SP;SP1117
501756;1;SAO PAULO;SP;SP1111
501779;1;SAO PAULO;SP;SP1106
501786;1;SAO PAULO;SP;SP1104
501787;1;SAO PAULO;SP;SP1104
501794;1;JARDINOPOLIS;SP;SP2212
501799;1;PARANAPANEMA;SP;SP2215
501801;1;MAUA;SP;SP1106
501808;1;SAO BERNARDO DO CAMPO;SP;SP1103
501824;1;FRANCA;SP;SP2212
501836;1;MOCOCA;SP;SP2208
501849;1;GUARULHOS;SP;SP1117
501855;1;SAO PAULO;SP;SP1120
501856;1;SAO JOSE DO RIO PRETO;SP;SP2206
501858;1;BARUERI;SP;SP1119
501861;1;SAO PAULO;SP;SP1115
501866;1;OSASCO;SP;SP1109
501883;1;FRANCO DA ROCHA;SP;SP1119
501885;1;SAO JOSE DO RIO PRETO;SP;SP2206
501889;1;OSASCO;SP;SP1109
501896;1;COTIA;SP;SP1108
501899;1;SOROCABA;SP;SP2204
501902;1;UBATUBA;SP;SP2219
501905;1;MAUA;SP;SP1106
501907;1;SALESOPOLIS;SP;SP2216
501908;1;SAO PAULO;SP;SP1121
501910;1;SAO PAULO;SP;SP1104
501914;1;COTIA;SP;SP1108
501926;1;AMERICANA;SP;SP2210
501944;1;EMBAUBA;SP;SP2206
501956;1;GUARULHOS;SP;SP1117
501967;1;COTIA;SP;SP1108
501974;1;ITAJOBI;SP;SP2206
501981;1;ITAPEVI;SP;SP1119
501982;1;SAO PAULO;SP;SP1120
501991;1;POLONI;SP;SP2213
501992;1;SAO PAULO;SP;SP1124
501993;1;AREALVA;SP;SP2207
501996;1;CARAPICUIBA;SP;SP1108
502003;1;RIBEIRAO PRETO;SP;SP2212
502005;1;SAO JOSE DO RIO PRETO;SP;SP2206
502009;1;BIRIGUI;SP;SP2202
502010;1;SUZANO;SP;SP2216
502015;1;APARECIDA;SP;SP2219
502020;1;ITAQUAQUECETUBA;SP;SP1116
502032;1;CAFELANDIA;SP;SP2211
502037;1;GUARULHOS;SP;SP1117
502046;1;TANABI;SP;2206SP
502046;1;TANABI;SP;SP2213
502060;1;JACAREI;SP;SP2219
502066;1;SAO PAULO;SP;SP1107
502072;1;SAO VICENTE;SP;SP1104
502088;1;SAO LOURENCO DA SERRA;SP;SP1123
502089;1;PINHALZINHO;SP;SP2214
502093;1;SAO JOSE DO RIO PRETO;SP;SP2206
502097;1;SANTO ANDRE;SP;SP1118
502117;1;CAMPINAS;SP;SP2214
502124;1;SANTANA DE PARNAIBA;SP;SP1119
502131;1;SANTO ANDRE;SP;SP1118
502158;1;GUARULHOS;SP;SP1117
502163;1;FERRAZ DE VASCONCELOS;SP;SP1106
502168;1;PRESIDENTE PRUDENTE;SP;SP2209
502175;1;TIETE;SP;SP2217
502188;1;EMBU DAS ARTES;SP;SP1123
502200;1;SAO PAULO;SP;SP1104
502221;1;SAO PAULO;SP;SP1122
502233;1;PEREIRA BARRETO;SP;SP2202
502240;1;PROMISSAO;SP;SP2211
502240;2;PROMISSAO;SP;SP2211
502246;1;SAO PAULO;SP;SP1105
502248;1;JUQUITIBA;SP;SP1123
502258;1;SAO JOSE DO RIO PRETO;SP;2206SP
502258;1;SAO JOSE DO RIO PRETO;SP;SP2206
502264;1;MOGI DAS CRUZES;SP;SP2216
502266;1;GUARULHOS;SP;SP1117
502268;1;GUARARAPES;SP;SP2202
502270;1;VALPARAISO;SP;SP2202
502273;1;FRANCISCO MORATO;SP;SP1119
502299;1;SOROCABA;SP;SP2204
502317;1;SAO CARLOS;SP;SP2218
502324;1;GUARULHOS;SP;SP1117
502326;1;SANTO ANDRE;SP;SP1118
502330;1;SAO PAULO;SP;SP1124
502331;1;JACAREI;SP;SP2219
502334;1;PRESIDENTE EPITACIO;SP;SP2209
502335;1;OSASCO;SP;SP1109
502338;1;SAO PAULO;SP;SP1120
502343;2;SAO PAULO;SP;SP1104
502344;1;SAO CARLOS;SP;SP2218
502358;1;NOVA ODESSA;SP;SP2217
502359;1;EMBU-GUACU;SP;SP1107
502362;1;SAO PAULO;SP;1106SP
502362;1;SAO PAULO;SP;SP1105
502369;1;MIRANDOPOLIS;SP;SP2202
502383;1;SANTANA DE PARNAIBA;SP;SP1119
502385;1;TABOAO DA SERRA;SP;SP1123
502387;1;SAO PAULO;SP;SP1105
502389;1;ITAPIRA;SP;SP2210
502392;1;ELIAS FAUSTO;SP;SP2214
502393;1;GLICERIO;SP;SP2202
502399;1;SAO PAULO;SP;SP1105
502402;1;BIRIGUI;SP;2206SP
502402;1;BIRIGUI;SP;SP2202
502411;1;VOTORANTIM;SP;SP2100
502412;1;MOGI DAS CRUZES;SP;SP2216
502414;1;SAO PAULO;SP;SP1104
502418;1;SAO PAULO;SP;SP1107
502421;1;SAO PAULO;SP;SP1107
502423;1;SAO PAULO;SP;SP1122
502435;1;SAO PAULO;SP;SP1104
502436;1;SAO PAULO;SP;SP1101
502457;1;PRESIDENTE PRUDENTE;SP;SP2209
502463;1;BILAC;SP;SP2202
502477;1;ITAPEVI;SP;SP1119
502481;1;PIRACICABA;SP;SP2217
502482;1;SAO PAULO;SP;SP1115
502483;1;AGUAI;SP;SP2208
502492;1;SAO PAULO;SP;SP1120
502497;1;TAQUARITINGA;SP;2205SP
502497;1;TAQUARITINGA;SP;SP2218
502499;1;SAO PAULO;SP;SP1112
502504;1;BILAC;SP;SP2202
502505;1;SAO PAULO;SP;SP1121
502517;1;MAUA;SP;1115SP
502517;1;MAUA;SP;SP1106
502518;1;CRISTAIS PAULISTA;SP;SP2212
502519;1;FRANCISCO MORATO;SP;SP1119
502523;1;SAO PAULO;SP;SP1120
502530;1;SAO PAULO;SP;SP1105
502533;1;SAO PAULO;SP;SP1121
502552;1;PRESIDENTE BERNARDES;SP;SP2209
502556;1;MAUA;SP;SP1106
